,DATE,Real GDP per Capita,Real GDP,GDP per Capita,GDP,Real Median Household Income,Median Household Income,Inflation,Unemployment Rate,score
0,2007-01-01,55260.0,16611.69,47289.0,14215.651,68610,50230,2.85267248150138,4.5,-0.13193125
1,2007-04-01,55474.0,16713.314,47802.0,14402.082,68610,50230,2.85267248150138,4.5,0.1242625
2,2007-07-01,55649.0,16809.587,48216.0,14564.117,68610,50230,2.85267248150138,4.666666666666667,-0.06446923076923076
3,2007-10-01,55857.0,16915.191,48592.0,14715.058,68610,50230,2.85267248150138,4.8,0.09240000000000001
4,2008-01-01,55497.0,16843.003,48457.0,14706.538,66280,50300,3.839100296651,5.0,0.18426774193548387
5,2008-04-01,55705.0,16943.291,48875.0,14865.701,66280,50300,3.839100296651,5.333333333333333,0.1796027027027027
6,2008-07-01,55278.0,16854.295,48865.0,14898.999,66280,50300,3.839100296651,6.0,0.14768260869565217
7,2008-10-01,53941.0,16485.35,47799.0,14608.209,66280,50300,3.839100296651,6.866666666666667,0.06827902097902097
8,2009-01-01,53221.0,16298.262,47123.0,14430.902,65850,49780,-0.355546266299747,8.266666666666667,0.1587027649769585
9,2009-04-01,53017.0,16269.145,46865.0,14381.236,65850,49780,-0.355546266299747,9.3,0.14692246777163906
10,2009-07-01,53081.0,16326.281,46977.0,14448.882,65850,49780,-0.355546266299747,9.633333333333333,0.10257416413373861
11,2009-10-01,53531.0,16502.754,47525.0,14651.249,65850,49780,-0.355546266299747,9.933333333333334,0.16935471698113208
12,2010-01-01,53683.0,16582.71,47797.0,14764.61,64300,49280,1.6400434423899,9.833333333333334,0.14851077586206896
13,2010-04-01,54100.0,16743.162,48403.0,14980.193,64300,49280,1.6400434423899,9.633333333333333,0.1727609375
14,2010-07-01,54401.0,16872.266,48821.0,15141.607,64300,49280,1.6400434423899,9.466666666666669,0.08673461538461538
15,2010-10-01,54569.0,16960.864,49256.0,15309.474,64300,49280,1.6400434423899,9.5,0.09179432314410481
16,2011-01-01,54341.0,16920.632,49302.0,15351.448,63350,50050,3.156841568622,9.033333333333331,0.1209247619047619
17,2011-04-01,54610.0,17035.114,49873.0,15557.539,63350,50050,3.156841568622,9.066666666666666,0.09056847826086957
18,2011-07-01,54482.0,17031.313,50056.0,15647.68,63350,50050,3.156841568622,9.0,0.11903480825958702
19,2011-10-01,54979.0,17222.583,50573.0,15842.259,63350,50050,3.156841568622,8.633333333333333,0.14085611285266458
20,2012-01-01,55342.0,17367.01,51205.0,16068.805,63350,51020,2.06933726526067,8.266666666666667,0.1320656891495601
21,2012-04-01,55490.0,17444.525,51554.0,16207.115,63350,51020,2.06933726526067,8.2,0.12444934640522876
22,2012-07-01,55454.0,17469.65,51803.0,16319.541,63350,51020,2.06933726526067,8.033333333333333,0.10649889705882354
23,2012-10-01,55403.0,17489.852,52015.0,16420.419,63350,51020,2.06933726526067,7.8,0.1354262886597938
24,2013-01-01,55859.0,17662.4,52652.0,16648.189,65740,53590,1.46483265562717,7.733333333333333,0.15375851063829787
25,2013-04-01,55914.0,17709.671,52816.0,16728.687,65740,53590,1.46483265562717,7.533333333333334,0.1191126213592233
26,2013-07-01,56272.0,17860.45,53415.0,16953.838,65740,53590,1.46483265562717,7.233333333333333,0.13696039999999998
27,2013-10-01,56642.0,18016.147,54051.0,17192.019,65740,53590,1.46483265562717,6.933333333333334,0.03435561497326204
28,2014-01-01,56345.0,17953.974,53972.0,17197.738,64900,53660,1.62222297740817,6.666666666666667,0.139226404494382
29,2014-04-01,56968.0,18185.911,54878.0,17518.508,64900,53660,1.62222297740817,6.2,0.21523714285714285
30,2014-07-01,57536.0,18406.941,55652.0,17804.228,64900,53660,1.62222297740817,6.066666666666666,0.08264669811320755
31,2014-10-01,57702.0,18500.031,55869.0,17912.079,64900,53660,1.62222297740817,5.7,0.20723719806763286
